Name,Position,Age,Club,Height,Foot,Caps,Goals,MarketValue,Country,Height_m
Luka Sucic,Central Midfield,21,Red Bull Salzburg,185,left,6,0,15000000,Croatia,1.85
Mario Pasalic,Central Midfield,29,Atalanta BC,188,right,62,10,13000000,Croatia,1.88
Luka Modric,Central Midfield,38,Real Madrid,172,right,174,24,6000000,Croatia,1.72
Lovro Majer,Attacking Midfield,26,VfL Wolfsburg,178,left,30,8,20000000,Croatia,1.78
Martin Baturina,Attacking Midfield,21,GNK Dinamo Zagreb,172,right,3,0,20000000,Croatia,1.72
Nikola Vlašić,Attacking Midfield,26,Torino FC,179,right,55,8,10000000,Croatia,1.79
Luka Ivanusec,Left Winger,25,Feyenoord Rotterdam,175,right,20,2,12000000,Croatia,1.75
Marko Pjaca,Left Winger,29,HNK Rijeka,186,right,26,1,2500000,Croatia,1.86
Ivan Perisic,Left Winger,35,HNK Hajduk Split,186,both,130,33,2000000,Croatia,1.86
Marco Pasalic,Right Winger,23,HNK Rijeka,177,left,5,1,4000000,Croatia,1.77
Andrej Kramaric,Centre-Forward,32,TSG 1899 Hoffenheim,177,right,92,28,5000000,Croatia,1.77
Ante Budimir,Centre-Forward,32,CA Osasuna,190,left,20,2,5000000,Croatia,1.9
Bruno Petkovic,Centre-Forward,29,GNK Dinamo Zagreb,193,right,37,11,5000000,Croatia,1.93
Thomas Strakosha,Goalkeeper,29,Brentford FC,193,right,28,0,3000000,Albania,1.93
Elhan Kastrati,Goalkeeper,27,AS Cittadella,189,right,2,0,1300000,Albania,1.89
Etrit Berisha,Goalkeeper,35,FC Empoli,194,left,80,0,500000,Albania,1.94
Berat Djimsiti,Centre-Back,31,Atalanta BC,190,right,57,1,10000000,Albania,1.9
Marash Kumbulla,Centre-Back,24,US Sassuolo,191,right,19,0,4500000,Albania,1.91
Ardian Ismajli,Centre-Back,27,FC Empoli,187,right,38,2,3000000,Albania,1.87
Enea Mihaj,Centre-Back,25,FC Famalicão,186,right,19,0,1500000,Albania,1.86
Arlind Ajeti,Centre-Back,30,CFR Cluj,184,right,25,1,1000000,Albania,1.84
